Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Vertigo (Paroxysmal Positional Vertigo),Perform prescribed canalith repositioning maneuver (Epley maneuver) as instructed by physician,Avoid rapid head movements; change head position slowly when lying down or getting up,Remove fall hazards from the home environment given risk of imbalance during attacks,"Avoid activities requiring balance (driving, working at heights) until episodes are controlled"
Hypoglycemia,"Always carry fast-acting glucose (glucose tablets, fruit juice, regular soda) to treat acute episodes","Monitor blood glucose regularly, especially before driving or engaging in physical activity",Do not skip meals; consume regular balanced meals and snacks if on insulin or sulfonylureas,Educate family members on glucagon injection administration for severe hypoglycemia emergencies
Acne,"Cleanse face twice daily with a gentle, non-comedogenic, pH-balanced cleanser; avoid scrubbing","Use non-comedogenic, oil-free moisturizers and sunscreens to prevent pore blockage","Apply prescribed retinoids, benzoyl peroxide, or topical antibiotics consistently as directed","Avoid picking or squeezing lesions, which worsens inflammation and increases scarring risk"
Diabetes,Adhere strictly to a balanced diet low in refined carbohydrates and saturated fats,Exercise regularly (at least 150 minutes of moderate activity per week) to improve insulin sensitivity,Monitor blood glucose levels daily and HbA1c every 3 months as advised by physician,Take prescribed medications or insulin on schedule and attend regular diabetic foot and eye examinations
Impetigo,Keep affected areas clean; wash gently with mild soap and water and apply topical antibiotic as prescribed,Cover sores with gauze bandages to prevent spread and discourage scratching,Avoid skin-to-skin contact with others until sores have healed; wash clothing and bedding in hot water,Complete the full course of prescribed oral or topical antibiotics even if symptoms improve early
Hypertension,"Adopt the DASH diet (rich in fruits, vegetables, whole grains, low-fat dairy, low sodium <2g/day)",Exercise aerobically for at least 150 minutes per week; reduce sedentary time,"Avoid smoking, limit alcohol intake, and practice stress management techniques (mindfulness, yoga)",Monitor blood pressure at home regularly and take antihypertensive medications exactly as prescribed
Peptic ulcer disease,Avoid NSAIDs and aspirin; use paracetamol for pain relief when possible,Complete the full H. pylori eradication regimen (triple or quadruple therapy) as prescribed,"Eliminate alcohol, quit smoking, and reduce caffeine intake to allow mucosal healing","Eat smaller, more frequent meals; avoid eating 2–3 hours before bedtime"
Dimorphic hemorrhoids(piles),"Increase dietary fiber intake (25–35g/day from fruits, vegetables, whole grains) and fluid intake to soften stools",Avoid straining during defecation and prolonged sitting on the toilet,"Use sitz baths (warm water soaks for 15 minutes, 2–3 times daily) to relieve pain and inflammation",Apply prescribed topical anesthetics or corticosteroid ointments; consult a colorectal surgeon if symptoms persist
Common Cold,"Rest adequately and maintain good hydration with warm fluids (broths, herbal teas, water)",Practice frequent hand washing with soap for at least 20 seconds and avoid touching face,Use saline nasal irrigation or steam inhalation to relieve nasal congestion,Avoid antibiotics (ineffective against viruses); use paracetamol or ibuprofen for fever and pain relief
Chicken pox,"Maintain strict isolation from non-immune individuals (pregnant women, immunocompromised) until all lesions have crusted",Trim fingernails short and use mittens in young children to minimize scratching and prevent bacterial superinfection,"Apply calamine lotion, colloidal oatmeal baths, and use antihistamines for pruritus relief; never use aspirin (Reye's syndrome risk)",Administer antiviral therapy (acyclovir) within 24 hours of rash onset for high-risk patients; vaccinate susceptible contacts promptly
Cervical spondylosis,Maintain good posture with ergonomic neck support during work; avoid prolonged forward neck flexion (phone/computer use),Perform prescribed cervical strengthening and stretching exercises daily under physiotherapy guidance,Use a cervical pillow or firm mattress to maintain neutral neck alignment during sleep,"Seek urgent medical review if neurological symptoms develop (arm weakness, hand numbness, gait problems, or bladder/bowel dysfunction)"
Hyperthyroidism,"Take prescribed antithyroid medications (methimazole, carbimazole, or PTU) consistently at scheduled times","Avoid iodine-rich foods (seaweed, kelp supplements, iodine-containing contrast agents) and iodine-containing medications","Protect eyes from sunlight, dust, and wind with wraparound sunglasses if eye disease (Graves' orbitopathy) is present",Monitor thyroid function tests regularly; avoid caffeine and stimulants that worsen palpitations and anxiety
Urinary tract infection,Drink at least 2–3 liters of water daily to flush bacteria from the urinary tract,Urinate promptly after sexual intercourse; avoid holding urine for extended periods,Complete the full prescribed antibiotic course even if symptoms resolve after a few days,"Women should wipe from front to back after using the toilet; avoid harsh soaps, feminine sprays, and douches in the genital area"
Varicose veins,Wear graduated medical compression stockings (20–30 mmHg or as prescribed) during prolonged standing or sitting,Elevate legs above heart level for 15–30 minutes several times daily to improve venous return,"Engage in regular walking, cycling, or swimming to activate the calf muscle pump","Avoid prolonged standing, crossing legs, and tight-fitting clothing around the waist or thighs"
AIDS,Adhere strictly to prescribed antiretroviral therapy (ART) to achieve and maintain undetectable viral load,Practice safer sex (consistent condom use) to prevent HIV transmission and re-infection with drug-resistant strains,"Avoid sharing needles, syringes, or other drug injection equipment; use needle exchange programs","Attend regular follow-up appointments for CD4 count, viral load monitoring, and prophylaxis against opportunistic infections"
Paralysis (brain hemorrhage),Control blood pressure strictly within target range to prevent re-bleeding or recurrent stroke,"Engage in intensive inpatient and outpatient rehabilitation (physiotherapy, occupational therapy, speech therapy) as early as possible","Maintain a safe home environment with grab bars, ramps, and fall prevention modifications","Adhere to all prescribed medications (antihypertensives, anticoagulants if indicated) and attend regular neurological follow-up"
Typhoid,Drink only boiled or bottled water and avoid raw fruits and vegetables washed with untreated water in endemic areas,Practice strict hand hygiene before meals and after toilet use; ensure food is cooked thoroughly,Complete the full prescribed antibiotic course (fluoroquinolone or cephalosporin) without interruption to prevent relapse,Get vaccinated against typhoid before traveling to endemic regions; vaccinate household contacts of confirmed cases
Hepatitis B,Ensure all close contacts and household members are vaccinated with the complete HBV vaccine series,"Practice safe sex with consistent condom use; avoid sharing personal items (razors, toothbrushes, nail clippers) that may be contaminated with blood",Avoid alcohol and over-the-counter hepatotoxic medications; consult physician before taking any new supplement or drug,Attend regular liver function monitoring and hepatocellular carcinoma screening (ultrasound + AFP every 6 months) if chronically infected
Fungal infection,"Keep skin clean, dry, and well-ventilated; change socks and underwear daily; dry between toes thoroughly","Avoid sharing towels, shoes, combs, or nail equipment; use shower sandals in public locker rooms and pools","Apply prescribed antifungal creams, powders, or oral antifungals consistently for the recommended duration; do not stop early","Manage underlying conditions (diabetes, immunosuppression) that predispose to fungal infections; maintain good glycemic control"
Hepatitis C,"Avoid sharing needles, syringes, or drug preparation equipment; access harm reduction and needle exchange programs","Do not share personal hygiene items (razors, nail clippers, toothbrushes) that may be blood-contaminated",Consult a hepatologist regarding direct-acting antiviral (DAA) therapy for a potentially curative 8–12 week course,Avoid alcohol entirely to slow liver fibrosis progression; screen household and sexual contacts for HCV testing
Migraine,"Maintain a consistent daily schedule for sleep, meals, hydration, and exercise; erratic routines are common migraine triggers","Keep a detailed headache diary to identify food triggers (tyramine-rich foods, alcohol, MSG, caffeine withdrawal), environmental triggers, and hormonal patterns","Take prescribed acute therapy (triptan, NSAID, or combination) at the earliest sign of an attack before pain becomes severe","Discuss prophylactic therapies (topiramate, propranolol, amitriptyline, CGRP monoclonal antibodies, onabotulinum toxin A) with neurologist if migraines occur >4 days per month or are significantly disabling"
Bronchial Asthma,"Identify and minimize exposure to known allergens and irritants (dust mites, pollen, pet dander, smoke, strong odors)",Use prescribed preventer inhaler (inhaled corticosteroid) daily even when symptom-free; never stop without medical advice,Always carry reliever bronchodilator (salbutamol) inhaler and have a written asthma action plan for exacerbations,"Check peak flow regularly; seek emergency care immediately if severe breathlessness, blue lips, or reliever provides no relief"
Alcoholic hepatitis,Stop all alcohol consumption immediately and permanently; even small amounts worsen liver damage and mortality,"Follow a high-calorie, high-protein nutritional plan with vitamin supplementation (thiamine, folate, multivitamins) under dietitian guidance","Take prescribed medications (corticosteroids for severe cases, pentoxifylline) exactly as directed",Attend regular hepatologist appointments for liver function monitoring and liver fibrosis assessment; consider addiction counseling and support groups
Jaundice,"Seek immediate medical evaluation to identify the underlying cause (liver disease, hemolysis, bile duct obstruction)",Maintain adequate hydration and rest; avoid alcohol and hepatotoxic drugs until liver function normalizes,Follow a low-fat diet to reduce bile salt load if cholestatic jaundice is present,"Attend follow-up tests (LFTs, bilirubin, ultrasound, ERCP if needed) promptly as directed by physician"
Hepatitis E,Drink only boiled or purified water and avoid raw/undercooked pork and deer meat in regions where HEV genotype 3/4 is endemic,"Practice rigorous hand hygiene, especially in areas with inadequate sanitation and flooding",Pregnant women should avoid travel to HEV-endemic regions and seek immediate medical care if symptoms of hepatitis develop,"Immunocompromised patients should discuss HEV vaccination (rHEV-239, licensed in China) and ribavirin treatment with their specialist"
Dengue,"Use insect repellent containing DEET, picaridin, or IR3535 and wear long protective clothing during daylight hours when Aedes mosquitoes are most active","Eliminate all standing water (tyres, flower pots, buckets, drains) near home to destroy mosquito breeding sites","Monitor platelet count and hematocrit daily during fever; seek hospital admission if dengue warning signs appear (abdominal pain, vomiting, bleeding, rapid breathing, pallor)","Avoid aspirin, ibuprofen, and NSAIDs, which increase bleeding risk; use only paracetamol for fever and pain"
Hepatitis D,"Vaccinate against Hepatitis B, which simultaneously prevents HDV infection (no HBV = no HDV)","Avoid sharing needles, syringes, drug paraphernalia, and blood-contaminated personal items",Undergo regular liver function tests and HBV/HDV viral load monitoring if co-infected,Discuss antiviral treatment (pegylated interferon-alpha or bulevirtide) with a hepatologist for chronic HDV infection
Heart attack,"Call emergency services (ambulance) immediately at the first sign of chest pain, pressure, or related symptoms; do not drive yourself",Chew 300mg aspirin (unless truly allergic) immediately while awaiting emergency services if a heart attack is suspected,"Do not eat, drink, or exert yourself; rest in a comfortable position (typically semi-recumbent) until help arrives","After hospitalization, adhere strictly to prescribed secondary prevention medications (aspirin, statins, beta-blockers, ACE inhibitors) and enroll in cardiac rehabilitation"
Pneumonia,Get annual influenza vaccine and pneumococcal vaccine (PCV15/PCV20 for adults >65 and high-risk groups) to prevent the most common precipitating infection,Avoid smoking and exposure to air pollutants that impair mucociliary clearance and lung defense mechanisms,Practice good hand hygiene; ensure adequate nutrition and vitamin D levels to support immune function,"In hospitalized patients, implement aspiration precautions, early mobilization, and incentive spirometry to prevent hospital-acquired pneumonia"
Arthritis,"Engage in regular low-impact exercise (swimming, cycling, tai chi) to maintain joint function and muscle strength; avoid high-impact activities during flares",Maintain healthy body weight to reduce biomechanical stress on joints,"Take prescribed disease-modifying antirheumatic drugs (DMARDs, biologics) consistently for inflammatory arthritis; do not self-discontinue",Apply hot packs for stiffness and cold packs for acute inflammation; use assistive devices and seek occupational therapy for joint protection
Gastroenteritis,Rehydrate promptly using ORS; infants should continue breastfeeding; avoid plain water alone as it does not replace electrolytes,"Introduce a normal, age-appropriate diet as early as tolerated; prolonged dietary restriction delays recovery",Report cases of suspected food poisoning to public health authorities to identify outbreak sources,"Cook all meat, poultry, eggs, and shellfish to safe temperatures; refrigerate perishables promptly; avoid cross-contamination between raw and cooked foods"
Tuberculosis,Complete the full HRZE treatment regimen for the recommended duration (minimum 6 months); never self-discontinue even when feeling better,Notify the local public health authority to enable contact tracing; all close contacts should receive TB skin test or IGRA and treatment for latent TB if indicated,Ensure home is well-ventilated with natural airflow; use N95 respirators and separate living quarters until confirmed non-infectious (3 consecutive negative sputum AFB smears),"Eat a nutritious, high-protein diet to support immune function and recovery; address alcohol use, smoking, and diabetes which impair anti-TB immunity"
COVID-19,Isolate immediately if symptomatic or test-positive; wear a well-fitted N95/FFP2 mask around others and in healthcare settings,"Stay up to date with COVID-19 vaccinations and boosters, particularly for high-risk individuals (elderly, immunocompromised, comorbidities)","Monitor oxygen saturation with a pulse oximeter; seek immediate emergency care if SpO2 falls below 94%, or severe breathlessness, chest pain, or confusion develop","Rest, stay well hydrated, and manage symptoms with paracetamol; take prescribed antivirals (nirmatrelvir/ritonavir, remdesivir) early if eligible to reduce severe disease risk"
Diabetes Type 2,"Follow a low glycemic index diet rich in fiber, vegetables, lean protein, and whole grains; limit refined carbohydrates, sugary drinks, and saturated fats","Exercise at least 150 minutes per week (brisk walking, cycling, swimming) to improve insulin sensitivity and glycemic control","Monitor blood glucose as directed; maintain HbA1c <7% (or individualized target); take prescribed medications (metformin, GLP-1 agonists, SGLT2 inhibitors) as directed","Attend regular screening for diabetic complications: annual eye examination, urine albumin-to-creatinine ratio, foot examination, and lipid and blood pressure monitoring"
Asthma,Use prescribed daily controller inhaler (ICS or ICS/LABA) consistently even when well; poor adherence is the leading cause of uncontrolled asthma,"Minimize exposure to known triggers: use HEPA air purifiers, encase mattress/pillows in allergen-proof covers, maintain humidity below 50%",Follow a written asthma action plan; carry a reliever inhaler at all times and use a spacer device for better drug delivery,Undergo annual spirometry to assess lung function and review inhaler technique with healthcare provider at every visit
Anemia,"Consume iron-rich foods (red meat, legumes, fortified cereals, tofu, leafy greens) paired with vitamin C-rich foods to enhance non-heme iron absorption","Avoid tea, coffee, and calcium-rich foods immediately before and after iron-rich meals as they inhibit iron absorption","Take prescribed iron, B12, or folate supplements as directed; IV iron infusion may be needed for severe deficiency or poor absorption","Identify and treat the underlying cause of anemia (e.g., control menorrhagia, treat gastric ulcer, eradicate H. pylori, treat hemolytic disease) to prevent recurrence"
Appendicitis,"Seek emergency medical care immediately for severe, persistent, or worsening right lower abdominal pain, especially with fever and nausea",Do not eat or drink anything if appendicitis is suspected (to prepare for possible surgery),"Avoid taking laxatives or applying heating pads to the abdomen, as this may mask symptoms or worsen perforation risk","Follow all post-operative wound care instructions after appendectomy; return to hospital immediately if signs of wound infection, persistent fever, or increasing pain develop"
Chronic Kidney Disease,Control blood pressure to target <130/80 mmHg with prescribed antihypertensives (ACE inhibitors or ARBs are preferred for their renoprotective effects),"Follow a kidney-friendly diet: restrict sodium, potassium, phosphorus, and protein (under dietitian supervision) as eGFR declines","Maintain optimal glucose control if diabetic; use SGLT2 inhibitors (empagliflozin, dapagliflozin) as they slow CKD progression","Avoid nephrotoxic agents (NSAIDs, aminoglycoside antibiotics, iodinated contrast without adequate precaution); stay well hydrated; attend regular nephrology follow-up"
Food Poisoning,"Begin oral rehydration immediately using ORS or clear fluids; avoid solid foods until vomiting subsides, then reintroduce bland foods gradually",Do not take anti-diarrheal agents if bloody diarrhea is present or botulism is suspected; seek urgent medical review,"Practice safe food handling: cook foods to recommended temperatures, refrigerate leftovers promptly, avoid cross-contamination between raw and cooked foods","Report suspected food poisoning (especially from commercial establishments) to local health authorities; seek emergency care if botulism symptoms develop (double vision, drooping eyelids, difficulty swallowing, muscle weakness)"
