Disease,Description
Acne,"Symptoms: Pimples, blackheads, whiteheads, red bumps, oily skin, scarring

Description: Acne vulgaris is a chronic inflammatory disease of the pilosebaceous unit driven by four pathogenic factors: increased sebum production (stimulated by androgens), follicular hyperkeratinization, colonization by Cutibacterium acnes (formerly Propionibacterium acnes), and immune-mediated inflammation. It manifests as non-inflammatory lesions (open and closed comedones) and inflammatory lesions (papules, pustules, nodules, cysts), predominantly on the face, chest, and back. It affects approximately 85% of adolescents and persists into adulthood in many cases. Severe or inadequately treated acne can result in scarring and significant psychological impact including depression and anxiety."
Diabetes,"Symptoms: Excessive thirst, frequent urination, hunger, blurred vision, fatigue, slow-healing sores

Description: Diabetes mellitus is a group of metabolic diseases characterized by chronic hyperglycemia resulting from defects in insulin secretion, insulin action, or both. Type 1 diabetes results from autoimmune destruction of pancreatic beta cells; Type 2 from progressive insulin resistance and relative insulin deficiency. Chronic hyperglycemia causes micro- and macrovascular complications including diabetic retinopathy (leading cause of blindness), nephropathy (leading cause of chronic kidney disease), peripheral neuropathy, and atherosclerotic cardiovascular disease. Globally, over 500 million people are affected. Diagnosis relies on fasting glucose, HbA1c, and oral glucose tolerance tests."
Impetigo,"Symptoms: Red sores that rupture and ooze, then form yellow-brown crust, itching

Description: Impetigo is a highly contagious, superficial bacterial skin infection caused most commonly by Staphylococcus aureus and/or Group A Streptococcus (Streptococcus pyogenes). It predominantly affects children aged 2–5 years and is more prevalent in warm, humid climates and overcrowded settings. Non-bullous impetigo presents as vesicles that rupture and form characteristic golden-yellow honey-colored crusts, typically around the nose, mouth, and extremities. Bullous impetigo, caused by toxin-producing S. aureus, produces large flaccid blisters. Complications include ecthyma, post-streptococcal glomerulonephritis, and cellulitis. Antibiotic treatment (topical or systemic) is effective."
Hypertension,"Symptoms: Often asymptomatic, but can cause headaches, shortness of breath, nosebleeds, dizziness

Description: Hypertension (high blood pressure) is a chronic cardiovascular condition defined as persistently elevated arterial blood pressure ≥130/80 mmHg (ACC/AHA) or ≥140/90 mmHg (WHO/ESC). Primary (essential) hypertension accounts for 90–95% of cases with no identifiable cause, while secondary hypertension results from renal disease, primary aldosteronism, obstructive sleep apnea, or other conditions. Hypertension is largely asymptomatic ('silent killer') until end-organ damage occurs, including left ventricular hypertrophy, heart failure, coronary artery disease, stroke, hypertensive retinopathy, and chronic kidney disease. It is the leading modifiable risk factor for cardiovascular mortality globally."
Peptic ulcer disease,"Symptoms: Burning stomach pain, bloating, heartburn, nausea, intolerance to fatty foods

Description: Peptic ulcer disease (PUD) refers to open sores (ulcers) developing in the mucosa of the stomach (gastric ulcers), duodenum (duodenal ulcers), or less commonly the lower esophagus, due to erosion by gastric acid and pepsin. The two predominant causes are Helicobacter pylori infection (~70% of cases) and chronic NSAID/aspirin use, which impair mucosal protective mechanisms. Symptoms include gnawing or burning epigastric pain, worsened by food (gastric) or relieved by food (duodenal), nausea, and bloating. Serious complications include hemorrhage (hematemesis, melena), perforation (surgical emergency), and gastric outlet obstruction."
Dimorphic hemorrhoids(piles),"Symptoms: Anal itching, pain, bleeding during bowel movements, swelling around anus

Description: Hemorrhoids (piles) are pathological enlargements of the vascular cushions in the anal canal caused by increased venous pressure, straining during defecation, chronic constipation, pregnancy, low-fiber diet, or prolonged sitting. Internal hemorrhoids originate above the dentate line (covered by rectal mucosa) and are graded I–IV based on prolapse severity; they typically present with painless rectal bleeding. External hemorrhoids below the dentate line (covered by anoderm) cause pain, swelling, and itching, particularly when thrombosed. Dimorphic (mixed) hemorrhoids involve both internal and external components. Diagnosis is clinical; treatment ranges from dietary modification and sitz baths to rubber band ligation or surgical hemorrhoidectomy."
Common Cold,"Symptoms: Runny/stuffy nose, sore throat, cough, congestion, mild body aches, sneezing

Description: The common cold is an acute, self-limiting viral upper respiratory tract infection predominantly caused by rhinoviruses (50–80% of cases), but also by coronaviruses, adenoviruses, parainfluenza, and RSV. The virus infects epithelial cells of the nasal mucosa, triggering an inflammatory response characterized by nasal congestion, rhinorrhea, sneezing, sore throat, cough, and mild fever. Transmission occurs via respiratory droplets and hand-to-nose contact. Symptoms typically peak at 2–3 days and resolve within 7–10 days. There is no cure; treatment is supportive. Complications include secondary bacterial sinusitis, otitis media, and exacerbation of underlying asthma."
Chicken pox,"Symptoms: Itchy red rash, blisters, fever, fatigue, loss of appetite, headache

Description: Chickenpox (varicella) is a highly contagious acute primary infection caused by the Varicella-Zoster Virus (VZV), a member of the Herpesviridae family. Transmission occurs via respiratory droplets and direct contact with vesicular lesions (attack rate ~90% in susceptible contacts). The characteristic rash progresses in crops from macules to papules to pruritic vesicles and then crusted lesions over 5–7 days, typically beginning on the trunk and face before spreading centrifugally. Fever, malaise, and pruritus accompany the rash. Complications include bacterial superinfection, pneumonia (especially in adults and immunocompromised), encephalitis, and Reye's syndrome (with aspirin use). VZV remains latent in dorsal root ganglia and may reactivate years later as herpes zoster (shingles)."
Cervical spondylosis,"Symptoms: Neck pain, stiffness, tingling in arms, weakness in limbs, loss of coordination

Description: Cervical spondylosis is a spectrum of age-related degenerative changes in the cervical spine involving intervertebral disc desiccation and herniation, formation of osteophytes (bone spurs), facet joint arthropathy, and ligamentous hypertrophy. These structural changes can cause cervical radiculopathy (nerve root compression producing unilateral arm pain, paresthesia, and weakness) or cervical myelopathy (spinal cord compression causing gait dysfunction, hand clumsiness, and bladder/bowel dysfunction). Symptoms include neck pain, stiffness, headaches, and in severe cases progressive neurological deficits. Prevalence increases with age; over 90% of people above 65 show radiographic evidence of cervical spondylosis."
Hyperthyroidism,"Symptoms: Unexpected weight loss, rapid heartbeat, irritability, sweating, hand tremors

Description: Hyperthyroidism is a clinical syndrome caused by excessive synthesis and secretion of thyroid hormones (T3 and T4), accelerating metabolic processes throughout the body. Graves' disease (autoimmune, caused by TSH-receptor stimulating antibodies) is the most common cause; others include toxic multinodular goiter, toxic adenoma, thyroiditis, and excess iodine intake. Symptoms include unexplained weight loss, heat intolerance, excessive sweating, palpitations, tachycardia, atrial fibrillation, tremor, anxiety, insomnia, frequent bowel movements, and muscle weakness. Graves' disease additionally causes exophthalmos (protruding eyes) and pretibial myxedema. Thyroid storm is a life-threatening emergency requiring urgent treatment."
Urinary tract infection,"Symptoms: Strong urge to urinate, burning sensation, cloudy/bloody urine, pelvic pain

Description: A urinary tract infection (UTI) is a bacterial infection affecting any part of the urinary system—urethra (urethritis), bladder (cystitis), ureters, or kidneys (pyelonephritis). Escherichia coli causes ~80–85% of uncomplicated UTIs, with Klebsiella, Proteus, Enterococcus, and Staphylococcus saprophyticus accounting for most remaining cases. Women are disproportionately affected due to shorter urethra. Lower UTI symptoms include dysuria (painful urination), urinary frequency and urgency, suprapubic discomfort, and cloudy/malodorous urine. Upper UTI (pyelonephritis) additionally causes fever, rigors, flank pain, and nausea. Complicated UTIs occur in the presence of structural abnormalities, catheters, pregnancy, diabetes, or immunosuppression."
Varicose veins,"Symptoms: Bulging/twisted veins, aching legs, swelling in lower legs, itching around veins

Description: Varicose veins are pathologically dilated, tortuous, elongated superficial veins (>3mm diameter) in the lower limbs resulting from incompetence of venous valves that normally prevent retrograde blood flow. Venous hypertension from valve failure leads to progressive vein wall dilation. Risk factors include prolonged standing, obesity, pregnancy, family history, female sex, and aging. Symptoms include visible bulging veins, aching, heaviness, swelling, itching, and skin changes. Chronic venous insufficiency complications include lipodermatosclerosis, venous eczema, hyperpigmentation, and venous leg ulcers. Treatment options range from compression stockings to endovenous ablation and surgical stripping."
AIDS,"Symptoms: Fever, fatigue, swollen lymph nodes, weight loss, chronic diarrhea, night sweats

Description: Acquired Immunodeficiency Syndrome (AIDS) is the advanced stage of HIV (Human Immunodeficiency Virus) infection, defined by a CD4+ T-cell count below 200 cells/μL or the presence of AIDS-defining illnesses (opportunistic infections or malignancies). HIV primarily infects CD4+ T-lymphocytes, macrophages, and dendritic cells using the CCR5 and CXCR4 co-receptors, leading to progressive immune depletion. Transmission occurs via unprotected sexual contact, contaminated blood/needles, or mother-to-child during birth/breastfeeding. AIDS-defining conditions include Pneumocystis pneumonia, cryptococcal meningitis, CMV retinitis, toxoplasmosis, and Kaposi's sarcoma. Antiretroviral therapy (ART) effectively suppresses viral replication, restores immunity, and prevents AIDS progression."
Paralysis (brain hemorrhage),"Symptoms: Sudden numbness, weakness on one side, confusion, trouble speaking/seeing

Description: Paralysis following brain hemorrhage occurs when bleeding within the brain substance (intracerebral hemorrhage, ICH) or surrounding spaces compresses or destroys motor cortex, corticospinal tracts, or subcortical structures. Common causes include hypertension (most common), cerebral amyloid angiopathy, arteriovenous malformations, coagulation disorders, and anticoagulant therapy. ICH typically presents with sudden-onset focal neurological deficits (contralateral hemiplegia/hemiparesis), headache, nausea, vomiting, altered consciousness, and seizures. Outcomes depend on hemorrhage location, volume, presence of intraventricular extension, and speed of medical intervention. Rehabilitation is critical for recovery of motor function."
Typhoid,"Symptoms: High fever, headache, stomach pain, constipation or diarrhea, weakness

Description: Typhoid fever is a systemic bacterial infection caused by Salmonella enterica serovar Typhi (and less severely by S. Paratyphi), acquired by ingestion of food or water contaminated with human feces. After intestinal invasion, the bacteria penetrate Peyer's patches, multiply within macrophages, and disseminate via the bloodstream causing bacteremia. Classical presentation includes prolonged sustained fever (39–40°C), relative bradycardia, frontal headache, malaise, anorexia, abdominal pain, rose spots on the trunk, and hepatosplenomegaly. Complications include intestinal perforation, hemorrhage, encephalopathy, and myocarditis. Diagnosis is by blood culture (gold standard). Treatment with fluoroquinolones or third-generation cephalosporins; increasing antibiotic resistance is a global concern."
Hepatitis B,"Symptoms: Symptoms vary; consult a healthcare professional for specific diagnosis.

Description: Hepatitis B is a serious liver infection caused by the Hepatitis B Virus (HBV), a partially double-stranded DNA virus (Hepadnaviridae family). Transmission occurs via percutaneous or mucosal exposure to infectious blood, sexual contact, or vertical mother-to-child transmission. Acute HBV infection may be asymptomatic or present with jaundice, fatigue, nausea, and right upper quadrant pain. The risk of chronicity inversely correlates with age at infection (~90% in neonates vs ~5% in adults). Chronic HBV infection causes progressive liver inflammation, fibrosis, cirrhosis, and hepatocellular carcinoma (HCC). Globally, ~300 million people have chronic HBV infection. Safe, effective vaccines are available. Treatment with nucleos(t)ide analogues suppresses viral replication."
Fungal infection,"Symptoms: Itchy skin, red/scaly rash, burning sensation, peeling skin, discolored nails

Description: Fungal infections (mycoses) are caused by pathogenic or opportunistic fungi and can affect the skin, nails, mucous membranes, or internal organs. Superficial mycoses include dermatophytosis (ringworm, tinea pedis/athlete's foot, onychomycosis by Trichophyton spp.), cutaneous candidiasis (Candida albicans), and pityriasis versicolor (Malassezia furfur). Subcutaneous and systemic infections (histoplasmosis, aspergillosis, cryptococcosis, mucormycosis) primarily affect immunocompromised individuals (HIV/AIDS, transplant recipients, diabetics). Symptoms vary by infection site: pruritus, scaling, and discoloration in superficial forms; fever, cough, dyspnea, and organ dysfunction in systemic forms. Treatment involves antifungal agents (azoles, polyenes, echinocandins) based on species and severity."
Hepatitis C,"Symptoms: Symptoms vary; consult a healthcare professional for specific diagnosis.

Description: Hepatitis C is a bloodborne liver infection caused by the Hepatitis C Virus (HCV), a single-stranded RNA flavivirus. It is primarily transmitted via injection drug use with shared needles, needlestick injuries, and less commonly through sexual contact or blood transfusions (prior to 1992 screening). Up to 80% of acute infections become chronic; most patients are asymptomatic for decades. Chronic HCV causes progressive hepatic fibrosis, cirrhosis (in ~20% over 20 years), and is a leading cause of hepatocellular carcinoma and liver transplantation globally. Approximately 58 million people are chronically infected worldwide. Direct-acting antiviral (DAA) regimens achieve >95% cure rates with 8–12 week courses."
Migraine,"Symptoms: Severe throbbing pain, usually on one side, sensitivity to light/sound, nausea

Description: Migraine is a complex, episodic neurological disorder characterized by recurrent attacks of moderate-to-severe unilateral, pulsating headache lasting 4–72 hours, often accompanied by nausea, vomiting, and photophobia/phonophobia. Approximately one-third of patients experience aura—transient neurological symptoms (visual scotomas, fortification spectra, sensory or speech disturbances) preceding the headache by 20–60 minutes, caused by cortical spreading depression. The pathophysiology involves trigeminovascular activation, calcitonin gene-related peptide (CGRP) release, and central sensitization. Triggers include hormonal changes, stress, sleep disruption, certain foods, and sensory stimuli. Chronic migraine (≥15 headache days/month) significantly impairs quality of life and work productivity."
Bronchial Asthma,"Symptoms: Coughing, wheezing, shortness of breath, chest tightness, mucus production

Description: Bronchial asthma is a chronic inflammatory airway disease characterized by variable, reversible airflow obstruction due to bronchospasm, mucosal edema, and excess mucus production, and airway hyperresponsiveness to various triggers. The underlying inflammation involves mast cells, eosinophils, and T-helper 2 (Th2) lymphocytes releasing IL-4, IL-5, and IL-13. Triggers include allergens (dust mites, pollen, animal dander), respiratory infections, exercise, cold air, pollutants, and NSAIDs. Symptoms include recurrent wheezing, dyspnea, chest tightness, and cough (especially nocturnal). Lung function testing (spirometry) demonstrates reversible obstruction. Poorly controlled asthma leads to airway remodeling and fixed obstruction. Treatment includes inhaled corticosteroids and short/long-acting bronchodilators."
Alcoholic hepatitis,"Symptoms: Jaundice, abdominal pain, swelling, nausea, vomiting, loss of appetite, fatigue

Description: Alcoholic hepatitis is an acute inflammatory syndrome of the liver occurring in patients with heavy alcohol use (typically >80g/day for years), characterized by hepatocellular injury, neutrophilic infiltration, and Mallory-Denk body formation (intracellular keratin aggregates). Clinically, it presents with rapid-onset jaundice, fever, hepatomegaly, anorexia, right upper quadrant pain, and ascites. Severe alcoholic hepatitis (Maddrey Discriminant Function ≥32 or MELD score ≥20) carries 30-day mortality of 30–50%. Pathophysiology involves oxidative stress from acetaldehyde metabolism, gut dysbiosis with increased intestinal permeability and bacterial endotoxin (LPS) translocation, and TNF-α-driven liver inflammation. Abstinence from alcohol is the cornerstone of treatment; corticosteroids are used in severe cases."
Jaundice,"Symptoms: Yellowing of skin/eyes, pale stools, dark urine, itchy skin, fatigue

Description: Jaundice (icterus) is the yellowish discoloration of skin, sclera, and mucous membranes caused by hyperbilirubinemia (serum bilirubin >2.5–3 mg/dL). It is classified by mechanism: pre-hepatic (excess bilirubin production from hemolysis—sickle cell disease, G6PD deficiency), hepatic (impaired conjugation or secretion—viral hepatitis, cirrhosis, drug-induced liver injury, Gilbert syndrome), or post-hepatic/cholestatic (biliary obstruction—gallstones, pancreatic cancer, cholangiocarcinoma). Accompanying symptoms include dark urine, pale stools, pruritus, and constitutional symptoms depending on etiology. Newborn jaundice (physiological hyperbilirubinemia) affects ~60% of term neonates and requires phototherapy when severe to prevent bilirubin encephalopathy (kernicterus)."
Hepatitis E,"Symptoms: Symptoms vary; consult a healthcare professional for specific diagnosis.

Description: Hepatitis E is an acute, enterically transmitted liver infection caused by the Hepatitis E Virus (HEV), a single-stranded RNA virus (Hepeviridae family). It is the most common cause of acute viral hepatitis globally. Genotypes 1 and 2 primarily infect humans via contaminated drinking water in developing countries; genotypes 3 and 4 are zoonotic (from pigs, deer) and cause sporadic cases in high-income countries. Symptoms include acute-onset jaundice, fever, malaise, anorexia, nausea, and hepatomegaly, resolving within 4–6 weeks in most immunocompetent patients. However, HEV causes disproportionately severe disease in pregnant women (case fatality rate up to 25% in third trimester) and can cause chronic infection in immunocompromised individuals."
Dengue,"Symptoms: High fever, severe headache, pain behind eyes, joint/muscle pain, rash, mild bleeding

Description: Dengue fever is an acute viral hemorrhagic illness caused by four antigenically distinct dengue virus serotypes (DENV 1–4), RNA flaviviruses transmitted by Aedes aegypti and Aedes albopictus mosquitoes. Following an incubation of 4–10 days, the disease progresses through febrile, critical, and recovery phases. Classic dengue presents with sudden high fever, severe headache, retro-orbital pain, myalgia, arthralgia ('breakbone fever'), rash, and thrombocytopenia. Secondary infection with a different serotype carries risk of severe dengue (dengue hemorrhagic fever/dengue shock syndrome) due to antibody-dependent enhancement, causing plasma leakage, severe bleeding, and multi-organ impairment. Dengue is endemic in over 100 countries with ~100–400 million infections annually."
Hepatitis D,"Symptoms: Symptoms vary; consult a healthcare professional for specific diagnosis.

Description: Hepatitis D (delta hepatitis) is a liver infection caused by the Hepatitis D Virus (HDV), a defective single-stranded RNA satellite virus that requires HBV surface antigen (HBsAg) for its own assembly and transmission. Therefore, HDV infection occurs only in individuals already infected with HBV, either as co-infection (simultaneous HDV+HBV) or superinfection (HDV in chronic HBV carrier). Co-infection typically causes acute self-limiting hepatitis; superinfection accelerates progression to cirrhosis in 70–80% of cases and increases hepatocellular carcinoma risk. HDV affects ~15–20 million people globally. HBV vaccination prevents HDV infection. Pegylated interferon-alpha is the primary treatment; bulevirtide (entry inhibitor) is newly approved in Europe."
Heart attack,"Symptoms: Chest pain/pressure, shortness of breath, pain in jaw/back/arms, nausea, cold sweat

Description: A myocardial infarction (heart attack) occurs when prolonged ischemia from coronary artery occlusion—most commonly due to atherosclerotic plaque rupture and superimposed thrombosis—causes irreversible necrosis of myocardial tissue. It is classified as STEMI (ST-elevation MI, complete occlusion) or NSTEMI (partial occlusion) based on ECG findings. Classic symptoms include severe crushing/pressure chest pain radiating to the left arm, jaw, or back, diaphoresis, dyspnea, nausea, and sense of impending doom. Atypical presentations (epigastric pain, fatigue) are more common in women, diabetics, and elderly. Complications include cardiogenic shock, arrhythmias, heart failure, pericarditis, and mechanical complications. Rapid reperfusion (PCI within 90 minutes) is lifesaving."
Pneumonia,"Symptoms: Cough with phlegm, fever, sweating, chills, shortness of breath, chest pain

Description: Pneumonia is an acute infection of the lung parenchyma (alveoli and/or interstitium) caused by bacteria, viruses, fungi, or parasites. Streptococcus pneumoniae is the most common bacterial cause of community-acquired pneumonia (CAP); other causes include Haemophilus influenzae, Mycoplasma pneumoniae ('walking pneumonia'), Legionella pneumophila, and respiratory viruses (influenza, RSV, SARS-CoV-2). Aspiration pneumonia involves oropharyngeal or gastric contents. Symptoms include productive cough, fever, rigors, pleuritic chest pain, dyspnea, and hypoxemia. Physical examination reveals decreased breath sounds, dullness to percussion, and bronchial breathing. Complications include parapneumonic effusion, lung abscess, empyema, sepsis, and respiratory failure. Diagnosis is confirmed by chest X-ray/CT."
Arthritis,"Symptoms: Joint pain, stiffness, swelling, redness, decreased range of motion

Description: Arthritis encompasses over 100 conditions involving joint inflammation. Rheumatoid arthritis (RA) is a systemic autoimmune disease driven by citrullinated protein antibodies (anti-CCP) and rheumatoid factor, causing symmetric polyarthritis, synovial inflammation, bone erosion, and extra-articular manifestations (pulmonary nodules, vasculitis, pericarditis). Osteoarthritis is degenerative cartilage loss. Reactive arthritis follows genitourinary or gastrointestinal infections. Psoriatic arthritis accompanies psoriasis. Gouty arthritis results from monosodium urate crystal deposition in joints (hyperuricemia). Septic arthritis is a medical emergency caused by direct bacterial joint invasion. General symptoms include joint pain, swelling, stiffness, warmth, and reduced range of motion with varying distribution and patterns."
Gastroenteritis,"Symptoms: Watery diarrhea, stomach cramps, nausea, vomiting, occasional fever

Description: Gastroenteritis is inflammation of the stomach and intestines caused predominantly by viral pathogens (norovirus, rotavirus, adenovirus), bacteria (Salmonella, Campylobacter, E. coli, Shigella), or parasites (Giardia, Cryptosporidium). Viral gastroenteritis is the most common form, responsible for 1.7 billion cases annually worldwide. Transmission is via fecal-oral route, contaminated food/water, or direct contact. Symptoms include nausea, vomiting, watery or bloody diarrhea, abdominal cramping, and low-grade fever, typically lasting 1–3 days for viral and up to 7 days for bacterial causes. Dehydration is the primary complication, potentially fatal in infants and elderly. Management is mainly supportive with oral rehydration therapy; antibiotics are reserved for specific bacterial causes."
Tuberculosis,"Symptoms: Persistent cough (3+ weeks), coughing up blood, chest pain, weight loss, night sweats

Description: Tuberculosis (TB) is an airborne infectious disease caused by Mycobacterium tuberculosis, an acid-fast bacillus. TB primarily affects the lungs (pulmonary TB) but can involve any organ (extrapulmonary TB: lymph nodes, pleura, kidneys, bones, meninges). After inhalation, the bacillus is engulfed by alveolar macrophages, potentially establishing latent TB infection (LTBI) in immunocompetent hosts. Active TB develops when immune containment fails, typically causing chronic productive cough (>2 weeks), hemoptysis, fever, night sweats, and weight loss ('consumption'). Diagnosis uses sputum AFB smear/culture and GeneXpert MTB/RIF PCR. TB remains the world's deadliest infectious disease (1.3 million deaths/year). Treatment requires 6 months of multidrug therapy (HRZE); drug-resistant TB (MDR-TB, XDR-TB) is a major global challenge."
